servicos_conhecidos,servicos_assinados,servicos_gosto,idade,genero,ocupacao,n_criancas,conteudo_preferido,hrs_semana,hrs_fds,dispositivos,preco_justo,renda,melhorias
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+,Netflix;Disney+;Star+,20,Feminino,Estudando e Trabalhando,1-2,Séries,2,6,Smart TV;Celular;Notebook ou PC,"R$25,00 - R$35,00","R$1.000,00 - R$5.000,00",Preço;Maior catálogo de filmes e séries
Netflix;HBO Max;Globoplay,Netflix,Netflix,57,Masculino,Trabalhando,0,Filmes,3,0,Smart TV,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;HBO Max;Globoplay;Prime Video,Netflix;Disney+;Globoplay,Netflix;Globoplay,55,Masculino,Trabalhando,0,Filmes,0,4,Smart TV,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Crunchyroll,Netflix;Disney+;Prime Video;HBO Max;Globoplay;Crunchyroll,Netflix;Disney+;HBO Max;Crunchyroll,20,Masculino,Estudando e Trabalhando,0,Séries,2,4,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Disney+;Star+;Prime Video;Globoplay;DirecTV Go,Netflix;Prime Video;DirecTV Go,Netflix;Prime Video,76,Feminino,Aposentado,0,Filmes,2,2,Smart TV;Google Chromecast ou similar,"R$5,00 - R$15,00",Não respondeu,Maior catálogo de filmes e séries
Netflix;Disney+;Prime Video;HBO Max,Netflix,Netflix,21,Masculino,Estudando e Trabalhando,0,Séries,1,4,Notebook ou PC,"R$15,00 - R$25,00",Não respondeu,Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Pluto TV,Netflix;Disney+;HBO Max;Globoplay,Netflix;Globoplay,59,Masculino,Trabalhando,0,Filmes,2,5,Smart TV;Google Chromecast ou similar;Celular,"R$25,00 - R$35,00","R$5.000,00 - R$10.000,00",Nada
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Paramount+,Netflix;Disney+;Prime Video;Paramount+,Disney+;Prime Video,58,Masculino,Nenhuma das opções,0,Séries,1,2,Smart TV;Tablet ou iPad;Celular,"R$5,00 - R$15,00","R$10.000,00 - R$20.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Star+;HBO Max,Netflix;HBO Max,19,Masculino,Estudando,0,Séries,1,4,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Interface
Netflix;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;HBO Max,Netflix;HBO Max,69,Masculino,Trabalhando,0,Filmes,1,6,Smart TV,"R$25,00 - R$35,00","Mais de R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;Globoplay,Netflix;Star+;Prime Video;Globoplay,Netflix;Star+;Globoplay,54,Feminino,Estudando e Trabalhando,0,Filmes,6,5,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video;Globoplay,Netflix;Globoplay,40,Masculino,Estudando e Trabalhando,0,Filmes,2,2,Smart TV,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Prime Video;HBO Max,Netflix;HBO Max,22,Feminino,Estudando,0,Séries,6,8,Smart TV;Google Chromecast ou similar;Notebook ou PC,"R$15,00 - R$25,00","R$1.000,00 - R$5.000,00",Preço
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Crunchyroll,Netflix;Disney+;Prime Video;HBO Max;Globoplay;Crunchyroll,Prime Video;HBO Max;Crunchyroll,20,Masculino,Estudando,0,Séries,3,6,Google Chromecast ou similar;Celular;Notebook ou PC,"R$15,00 - R$25,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries;Conexão;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Disney+;Prime Video,20,Masculino,Estudando,0,Séries,1,3,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00",Não respondeu,Maior catálogo de filmes e séries
Netflix;Prime Video,Netflix;Prime Video,Netflix;Prime Video,43,Feminino,Estudando e Trabalhando,1-2,Séries,1,2,Smart TV,"R$5,00 - R$15,00","R$0,00 - R$1.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,21,Feminino,Estudando e Trabalhando,0,Séries,2,3,Smart TV;Celular,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Interface
Netflix;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Prime Video,76,Masculino,Aposentado,0,Séries,2,2,Smart TV,"Mais de R$35,00","R$10.000,00 - R$20.000,00",Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;DirecTV Go;Apple TV+,Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;DirecTV Go,Netflix;Star+;Prime Video,44,Masculino,Trabalhando,1-2,Esportes,5,1,Smart TV;Celular,"R$15,00 - R$25,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais
Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Prime Video,Netflix;Disney+;Prime Video,19,Feminino,Estudando,0,Séries,3,0,Smart TV;Celular;Notebook ou PC,"R$15,00 - R$25,00",Não respondeu,Preço;Interface
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;HBO Max,Netflix,21,Masculino,Estudando,0,Filmes,0,0,Celular,"R$25,00 - R$35,00","R$10.000,00 - R$20.000,00",Preço;Maior catálogo de filmes e séries
Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay,Netflix;Disney+;Prime Video;HBO Max;Globoplay,Netflix;Disney+;Prime Video;HBO Max,20,Feminino,Estudando e Trabalhando,0,Séries,1,2,Smart TV;Tablet ou iPad;Celular;Notebook ou PC,"R$5,00 - R$15,00","Mais de R$20.000,00",Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Conexão
